Id;latitude;longitude;bright_ti4;scan;track;acq_date;acq_time;satellite;instrument;confidence;version;bright_ti5;frp;daynight;type;Zona;Trimestre;Año
 ;5,694005;-72,251801;334,62;0,57;0,43;05/03/2012;1828;N;VIIRS;n;1;293,21;10,59;D;0;Boyacá;1;2012
 ;5,696929;-72,26329;333,93;0,39;0,59;21/02/2012;1732;N;VIIRS;n;1;296,15;3,38;D;0;Boyacá;1;2012
 ;5,6971;-72,261314;345,94;0,64;0,72;27/02/2012;1719;N;VIIRS;n;1;294,23;16,04;D;0;Boyacá;1;2012
 ;5,698765;-72,454407;341,48;0,46;0,47;22/01/2012;1834;N;VIIRS;n;1;294,84;7,11;D;0;Boyacá;1;2012
 ;5,699232;-72,331802;334,05;0,57;0,43;20/02/2012;1751;N;VIIRS;n;1;295,92;7,16;D;0;Boyacá;1;2012
 ;5,699883;-72,453728;348,83;0,46;0,47;22/01/2012;1834;N;VIIRS;n;1;292,57;11,15;D;0;Boyacá;1;2012
 ;5,701178;-72,334518;331,55;0,57;0,43;20/02/2012;1751;N;VIIRS;n;1;297,2;4,14;D;0;Boyacá;1;2012
 ;5,702223;-72,445457;330,87;0,41;0,37;14/02/2012;1803;N;VIIRS;n;1;299,06;2,69;D;0;Boyacá;1;2012
 ;5,710577;-74,056282;332,13;0,63;0,54;02/03/2012;1744;N;VIIRS;n;1;289,53;6,89;D;0;Boyacá;1;2012
 ;5,713804;-74,053375;336,69;0,4;0,6;26/02/2012;1738;N;VIIRS;n;1;282,11;6,39;D;0;Boyacá;1;2012
 ;5,726932;-74,008453;331,61;0,47;0,4;14/02/2012;1803;N;VIIRS;n;1;296,58;3,97;D;0;Boyacá;1;2012
 ;5,727241;-72,285759;340,64;0,56;0,43;02/02/2012;1828;N;VIIRS;n;1;294,9;14,31;D;0;Boyacá;1;2012
 ;5,727933;-72,288177;332,94;0,56;0,43;02/02/2012;1828;N;VIIRS;n;1;288,68;6,49;D;0;Boyacá;1;2012
 ;5,728115;-72,536896;353,58;0,4;0,44;04/02/2012;1750;N;VIIRS;n;1;307,45;50,38;D;0;Boyacá;1;2012
 ;5,72869;-72,283051;336,2;0,56;0,43;02/02/2012;1828;N;VIIRS;n;1;299,03;13,24;D;0;Boyacá;1;2012
 ;5,729302;-72,292488;331,94;0,48;0,48;02/03/2012;1744;N;VIIRS;n;1;282,38;4,77;D;0;Boyacá;1;2012
 ;5,729428;-72,717995;341,46;0,6;0,71;27/02/2012;1900;N;VIIRS;n;1;293,11;7,98;D;0;Boyacá;1;2012
 ;5,73155;-72,498314;339,28;0,59;0,53;28/02/2012;1841;N;VIIRS;n;1;286,99;12,37;D;0;Boyacá;1;2012
 ;5,732764;-74,071136;345,32;0,45;0,39;18/02/2012;1828;N;VIIRS;n;1;299,06;18,93;D;0;Boyacá;1;2012
 ;5,739892;-72,649292;335,61;0,54;0,42;18/02/2012;1828;N;VIIRS;n;1;301,83;44,61;D;0;Boyacá;1;2012
 ;5,740576;-72,636864;336,12;0,37;0,58;17/02/2012;1847;N;VIIRS;n;1;295,02;5,56;D;0;Boyacá;1;2012
 ;5,740803;-72,354103;337,36;0,41;0,37;14/02/2012;1803;N;VIIRS;n;1;301,38;4,4;D;0;Boyacá;1;2012
 ;5,740962;-72,338615;352,59;0,64;0,72;27/02/2012;1900;N;VIIRS;n;1;307,24;93,94;D;0;Boyacá;1;2012
 ;5,7415;-72,334641;345,01;0,64;0,72;27/02/2012;1900;N;VIIRS;n;1;296,74;67,65;D;0;Boyacá;1;2012
 ;5,744375;-72,653709;341,38;0,54;0,42;18/02/2012;1828;N;VIIRS;n;1;293,16;139,1;D;0;Boyacá;1;2012
 ;5,753428;-72,3899;338,25;0,65;0,73;27/02/2012;1719;N;VIIRS;n;1;290,72;34,86;D;0;Boyacá;1;2012
 ;5,753536;-74,130516;339,47;0,46;0,47;31/03/2012;1841;N;VIIRS;n;1;294,62;6,78;D;0;Boyacá;1;2012
 ;5,75436;-72,384727;352,89;0,65;0,73;27/02/2012;1719;N;VIIRS;n;1;305,56;94,98;D;0;Boyacá;1;2012
 ;5,773592;-72,502754;341,67;0,46;0,47;23/02/2012;1835;N;VIIRS;n;1;301,75;10,65;D;0;Boyacá;1;2012
 ;5,774135;-72,498863;352,07;0,46;0,47;23/02/2012;1835;N;VIIRS;n;1;305,45;10,65;D;0;Boyacá;1;2012
 ;5,777894;-72,503761;332,32;0,46;0,47;23/02/2012;1835;N;VIIRS;n;1;299,43;8,42;D;0;Boyacá;1;2012
 ;5,778427;-72,499962;349,57;0,46;0,47;23/02/2012;1835;N;VIIRS;n;1;302,43;8,42;D;0;Boyacá;1;2012
 ;5,787792;-74,293816;338,15;0,57;0,52;17/02/2012;1847;N;VIIRS;n;1;294,84;4,13;D;0;Boyacá;1;2012
 ;5,787951;-74,291008;333,18;0,57;0,52;17/02/2012;1847;N;VIIRS;n;1;294,58;7,93;D;0;Boyacá;1;2012
 ;5,790175;-72,495789;353,94;0,49;0,65;22/02/2012;1853;N;VIIRS;n;1;294,76;32,28;D;0;Boyacá;1;2012
 ;5,795736;-74,617798;340,97;0,39;0,36;13/02/2012;1822;N;VIIRS;n;1;291,75;4,13;D;0;Boyacá;1;2012
 ;5,796008;-72,498009;351,61;0,49;0,65;22/02/2012;1853;N;VIIRS;n;1;286,29;32,28;D;0;Boyacá;1;2012
 ;5,796504;-74,616379;348,19;0,51;0,41;14/02/2012;1803;N;VIIRS;n;1;303,91;12,29;D;0;Boyacá;1;2012
