Año,Trimestre,Mes,Día,acq_time,Año,bright_ti4,bright_ti5,confidence,daynight,frp,Id,instrument,Promedio de latitude,Promedio de longitude,satellite,scan,track,Trimestre,type,version,Zona
2012,Trim. 2,mayo,29,3668,4024,678.46,587.99,n,D,11.79,"",VIIRS,5.9149545,-74.4182625,N,1.05,0.84,4,0,2,Boyacá
2012,Trim. 2,mayo,31,1756,2012,328.48,288.54,n,D,3.25,"",VIIRS,6.052505,-73.435486,N,0.53,0.42,2,0,1,Boyacá
2012,Trim. 2,junio,1,1737,2012,340.96,279.94,n,D,7.07,"",VIIRS,5.509527,-73.731567,N,0.39,0.59,2,0,1,Boyacá
2012,Trim. 2,junio,2,3690,12072,1803.73,1623.39,n,N,4.55,"",VIIRS,5.743366833333333,-73.457466,N,2.4200000000000004,2.21,12,10,6,Boyacá
2012,Trim. 2,junio,4,5463,6036,998.49,920.78,l,D,19.52,"",VIIRS,6.033307,-74.56766266666666,N,1.17,1.08,6,6,3,Boyacá
2012,Trim. 2,junio,4,10926,12072,2024.5,1798.45,n,D,42.57,"",VIIRS,5.673989166666666,-73.85569016666666,N,2.44,2.22,12,4,6,Boyacá
2012,Trim. 2,junio,5,5406,6036,1015.67,913.04,n,D,14.56,"",VIIRS,5.653897333333333,-73.31480933333334,N,1.32,1.15,6,2,3,Boyacá
2012,Trim. 2,junio,6,3488,4024,656.3,597.88,l,D,12.64,"",VIIRS,6.1152375,-74.60606,N,0.68,1.12,4,6,2,Boyacá
2012,Trim. 2,junio,6,5760,18108,2703.77,2528.8,n,N,10.55,"",VIIRS,5.549613666666667,-73.36507066666667,N,3.96,3.9700000000000006,18,18,9,Boyacá
2012,Trim. 2,junio,7,1863,6036,907.3,849.34,n,N,2.5,"",VIIRS,5.754227333333333,-73.01307433333334,N,1.17,1.08,6,4,3,Boyacá
2012,Trim. 2,junio,9,1828,2012,330.31,301.82,l,D,8.23,"",VIIRS,6.113772,-74.606163,N,0.43,0.38,2,3,1,Boyacá
2012,Trim. 2,junio,10,1809,2012,336.5,288.24,n,D,4.36,"",VIIRS,5.734032,-74.702019,N,0.43,0.38,2,0,1,Boyacá
2012,Trim. 2,junio,10,705,2012,296.78,276.32,n,N,1.65,"",VIIRS,5.408449,-73.677422,N,0.51,0.66,2,2,1,Boyacá
2012,Trim. 2,junio,11,646,2012,296.23,273.85,n,N,1.55,"",VIIRS,5.470449,-73.549225,N,0.49,0.48,2,2,1,Boyacá
2012,Trim. 2,junio,15,3630,4024,681.75,599.8,n,D,10.25,"",VIIRS,5.779135500000001,-74.650482,N,0.78,0.72,4,0,2,Boyacá
2012,Trim. 2,junio,17,5067,16096,2407.71,2238.29,n,N,9.07,"",VIIRS,5.477113125000001,-73.377962125,N,3.84,3.1999999999999997,16,14,8,Boyacá
2012,Trim. 2,junio,20,7284,8048,1335.73,1182.33,n,D,19.01,"",VIIRS,5.8470284999999995,-74.0073755,N,1.6100000000000003,1.4699999999999998,8,0,4,Boyacá
2012,Trim. 2,junio,20,2685,10060,1557.67,1387,n,N,9.36,"",VIIRS,5.582308800000001,-72.9381942,N,2.2399999999999998,3.14,10,2,5,Boyacá
